type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Impacta Tecnologia Faculdade,https://www.impacta.edu.br/,https://logo.clearbit.com/alunoimpacta.com.br?size=40,Point,-46.6504672,-23.5231004
Feature,Autonomous University of Barcelona,https://www.uab.cat/,https://logo.clearbit.com/caos.uab.es?size=40,Point,2.10488990480381,41.50563595
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-82.0295175456508,39.9590836569002
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,1.0119269,48.4738151
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,4.8269787,45.7463242
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,4.44101212119811,50.40625135
Feature,SMKIT Ihsanul Fikri Mungkid,https://www.smkitihsanulfikri.sch.id/,https://logo.clearbit.com/smkitihsanulfikri.sch.id?size=40,Point,110.214330308488,-7.5136132
Feature,Nanyang Polytechnic,http://www.nyp.edu.sg/,https://logo.clearbit.com/mymail.nyp.edu.sg?size=40,Point,103.8490994,1.3800986
Feature,SENAI,http://pe.senai.br/,https://logo.clearbit.com/sp.senai.br?size=40,Point,-48.4861076,-1.4539743
Feature,The Sixth Form College Farnborough,https://farnborough.ac.uk/,https://logo.clearbit.com/farnborough.ac.uk?size=40,Point,-0.7520342,51.304596
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,5.367288,43.3009239
Feature,The Glasgow Academy,https://www.theglasgowacademy.org.uk/,https://logo.clearbit.com/tga.org.uk?size=40,Point,-4.2804651,55.8754329
Feature,Barcelona Graduate School of Economics,https://www.barcelonagse.eu/,https://logo.clearbit.com/barcelonagse.eu?size=40,Point,2.1940278,41.3877263
Feature,North Idaho College,https://nic.edu/,https://logo.clearbit.com/students.nic.edu?size=40,Point,-116.795990260466,47.67768725
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-1.561474,47.2083383
Feature,Saarland University (Universität des Saarlandes),https://www.uni-saarland.de/nc/en/home.html,https://logo.clearbit.com/coli.uni-sb.de?size=40,Point,7.02315370679073,49.2477654
Feature,University of Connecticut,https://uconn.edu/,https://logo.clearbit.com/uconn.edu?size=40,Point,-72.255172435532,41.8067035243965
Feature,Lambda School,https://lambdaschool.com/,https://logo.clearbit.com/lambdaschool.com?size=40,Point,-121.940102071054,37.7820373549993
Feature,University of Oklahoma,https://www.ou.edu/,https://logo.clearbit.com/ou.edu?size=40,Point,-97.4457082759986,35.1959878
Feature,University of Connecticut,https://uconn.edu/,https://logo.clearbit.com/uconn.edu?size=40,Point,-72.7072412134696,41.77151045
Feature,Utah State University,http://www.usu.edu/,https://logo.clearbit.com/aggiemail.usu.edu?size=40,Point,-111.8348631,41.7313447
